Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t9
1.959043652,37.0
4.519444942,37.0
7.074814129,38.0
9.634880743,38.0
12.189629692,38.0
14.749743091,38.0
17.310255059,38.0
19.865332807,38.0
22.425851903,38.0
24.980517636,38.0
27.540744652,38.0
30.096081991,38.0
32.65639788,38.0
35.21123805,38.0
37.771259527,38.0
40.331605928,38.0
41.276863518,38.0
42.886940952,38.0
45.44703556,38.0
48.001975124,38.0
50.562061741,38.0
53.117766401,38.0
55.677526953,38.0
58.232589605,38.0
60.792598142,38.0
63.352798371,38.0
65.908485234,38.0
68.468210594,38.0
71.023315567,38.0
73.583298947,38.0
76.138766252,38.0
78.698915586,38.0
81.253905704,38.0
83.81415431,38.0
86.374043825,39.0
88.93024077,39.0
91.489809346,39.0
94.044687072,39.0
96.60483281,39.0
99.160188645,39.0
101.720737795,39.0
104.275085107,39.0
106.835652629,39.0
109.395508483,39.0
111.951129198,39.0
114.511844929,39.0
117.066110972,39.0
119.626347759,39.0
122.181617345,39.0
124.74201572,39.0
127.302124943,39.0
129.856807896,39.0
132.416975643,39.0
134.972329662,39.0
137.533014095,39.0
140.087151078,39.0
142.647347083,40.0
145.203180971,40.0
147.763148303,40.0
150.323637137,40.0
152.878139475,40.0
155.438347646,40.0
157.993867016,40.0
160.554097679,40.0
163.109006439,40.0
165.668946123,40.0
168.224691784,40.0
170.78463278,41.0
173.344760957,41.0
175.899635577,41.0
178.459973148,41.0
181.015511312,41.0
183.575408962,41.0
186.130372583,41.0
188.690111278,41.0
191.245669771,41.0
193.806196892,41.0
196.366005805,41.0
198.921230178,41.0
201.481131835,41.0
204.036919223,41.0
206.596705543,41.0
209.151755415,43.0
211.71214131,44.0
214.267113381,44.0
216.827604544,44.0
219.387478111,44.0
221.942538817,44.0
224.502551037,44.0
227.058411085,44.0
229.618508465,44.0
232.172872309,44.0
234.733403262,44.0
237.293306649,44.0
239.84868624,44.0
242.40916417,44.0
244.963895758,44.0
247.524261303,44.0
250.079728568,44.0
252.639560718,44.0
255.194473329,46.0
257.754688795,47.0
260.314961098,47.0
262.86999926,47.0
265.430673785,47.0
267.985181201,47.0
270.54547622,47.0
273.10102717,47.0
275.661341507,47.0
278.21612445,47.0
280.776079482,47.0
283.336424737,47.0
285.891528733,47.0
288.451952585,47.0
291.006866468,47.0
293.566740642,47.0
296.12269813,47.0
298.682487857,47.0
301.237354531,47.0
303.79743905,48.0
306.357636136,48.0
308.913256698,48.0
311.472997001,48.0
314.028438455,48.0
316.588030636,48.0
319.143617346,48.0
321.704182938,48.0
324.258799776,48.0
326.819097924,48.0
329.37881976,48.0
331.934868655,48.0
334.494439054,48.0
337.049860686,48.0
339.610074352,48.0
342.165190976,48.0
344.725631949,48.0
347.280198832,48.0
349.840560948,48.0
352.400670184,48.0
354.955878625,48.0
357.51626535,48.0
360.071072384,48.0
362.631421403,48.0
365.186485672,49.0
367.746597149,49.0
370.307054668,49.0
372.861885167,49.0
375.422262028,49.0
377.977318147,49.0
380.537558724,49.0
383.092503114,49.0
385.652792795,49.0
388.208275228,49.0
390.768170242,49.0
393.328789287,49.0
395.883329194,49.0
398.443503618,49.0
400.99866023,49.0
403.558966932,49.0
406.114135826,49.0
408.67392632,49.0
411.229809627,49.0
413.789520122,49.0
416.349654217,49.0
418.905036372,49.0
421.46493788,49.0
424.020797039,52.0
426.580533926,52.0
429.135697,52.0
431.695606424,52.0
434.250949874,52.0
436.811451331,52.0
439.371275921,52.0
441.926430334,52.0
444.486260402,52.0
447.041970317,52.0
449.601889191,52.0
452.157074615,52.0
454.71739054,52.0
457.272403816,52.0
459.83291483,52.0
462.392709279,52.0
464.947634491,52.0
467.508111872,52.0
470.063298356,52.0
472.623569709,52.0
475.178456408,52.0
477.73862929,52.0
480.293700207,53.0
482.854122086,53.0
485.414496968,53.0
487.96925857,64.0
490.529591172,74.0
493.084937464,74.0
495.644843845,74.0
498.199749495,74.0
500.760141039,74.0
503.320495654,74.0
505.875540145,74.0
508.435841021,74.0
510.990847322,74.0
513.551012416,74.0
516.106547024,74.0
518.66636154,74.0
521.221609744,74.0
523.781549309,74.0
526.341718806,74.0
528.896797016,75.0
531.457188711,75.0
534.012485831,75.0
536.572491009,75.0
539.127952166,75.0
541.687481669,75.0
544.242837005,75.0
546.803138585,75.0
549.363173161,75.0
550.30860979,75.0
551.918612837,75.0
554.47849172,75.0
557.033964847,75.0
559.593756256,75.0
562.1489777,75.0
564.709602621,75.0
567.264468355,75.0
569.824933427,75.0
572.384711698,75.0
574.939958303,75.0
577.499914822,75.0
580.055358788,75.0
582.61546217,75.0
585.170683344,75.0
587.731124694,75.0
590.285680754,75.0
592.845867781,75.0
595.406222284,75.0
597.961726506,75.0
600.521931486,75.0
603.076899172,75.0
605.637044017,75.0
608.192138544,75.0
610.752168515,75.0
613.307575324,75.0
615.867487958,75.0
618.427831158,75.0
620.983044372,75.0
623.543328512,75.0
626.098210384,75.0
628.658297921,75.0
631.213845097,75.0
633.773842491,75.0
636.334055304,75.0
638.888970311,75.0
641.449091797,75.0
644.004654796,80.0
646.564786116,97.0
649.119864846,116.0
651.679782103,134.0
654.235382791,152.0
656.795205938,157.0
659.355359294,157.0
661.91087703,157.0
664.470886039,156.0
667.026199666,156.0
669.586156045,156.0
672.141293862,157.0
674.701519745,158.0
677.256735319,165.0
679.817076875,174.0
682.377012094,186.0
684.932327776,200.0
687.492231426,200.0
690.047754886,200.0
692.608443873,200.0
695.162706733,200.0
697.72309995,200.0
700.27814268,200.0
702.838347347,200.0
705.398359578,200.0
707.95399856,200.0
710.513985264,200.0
713.069263147,200.0
715.629693273,200.0
718.184260798,200.0
720.74444965,200.0
723.299550794,200.0
725.859888422,200.0
728.420306294,200.0
